signal_id,case_id,variant,confidential_value,a_label,b_label,a_pos,b_pos,a_prob_low,a_prob_high,b_prob,hi_dti,hi_ltv,denied,s,hi,mi,timely
fraud_signal,fraud_00001,A,SYNTHETIC_FRAUD_LOW,AUTO_CLEAR,STANDARD_SUPPORT,0,0,0.12389978697276274,0.5738997869727628,0.200824,0.0,0.34019999999999995,0.0,0.17009999999999997,,,
fraud_signal,fraud_00001,B,SYNTHETIC_FRAUD_HIGH,MANUAL_REVIEW,STANDARD_SUPPORT,1,0,0.12389978697276274,0.5738997869727628,0.200824,0.0,0.34019999999999995,0.0,0.17009999999999997,,,
fraud_signal,fraud_00002,A,SYNTHETIC_FRAUD_LOW,AUTO_CLEAR,PRIORITY_SUPPORT,0,1,0.36944228697276277,0.8194422869727628,0.33830200000000005,0.45,0.43584999999999996,0.0,0.442925,,,
fraud_signal,fraud_00002,B,SYNTHETIC_FRAUD_HIGH,MANUAL_REVIEW,PRIORITY_SUPPORT,1,1,0.36944228697276277,0.8194422869727628,0.33830200000000005,0.45,0.43584999999999996,0.0,0.442925,,,
fraud_signal,fraud_00003,A,SYNTHETIC_FRAUD_LOW,AUTO_CLEAR,STANDARD_SUPPORT,0,0,0.24980978697276277,0.6998097869727627,0.2856,0.32,0.3,0.0,0.31,,,
fraud_signal,fraud_00003,B,SYNTHETIC_FRAUD_HIGH,MANUAL_REVIEW,STANDARD_SUPPORT,1,0,0.24980978697276277,0.6998097869727627,0.2856,0.32,0.3,0.0,0.31,,,
fraud_signal,fraud_00004,A,SYNTHETIC_FRAUD_LOW,AUTO_CLEAR,PRIORITY_SUPPORT,0,1,0.24980978697276277,0.6998097869727627,0.2856,0.32,0.3,0.0,0.31,,,
fraud_signal,fraud_00004,B,SYNTHETIC_FRAUD_HIGH,AUTO_CLEAR,PRIORITY_SUPPORT,0,1,0.24980978697276277,0.6998097869727627,0.2856,0.32,0.3,0.0,0.31,,,
fraud_signal,fraud_00005,A,SYNTHETIC_FRAUD_LOW,AUTO_CLEAR,STANDARD_SUPPORT,0,0,0.24980978697276277,0.6998097869727627,0.2856,0.32,0.3,0.0,0.31,,,
fraud_signal,fraud_00005,B,SYNTHETIC_FRAUD_HIGH,AUTO_CLEAR,STANDARD_SUPPORT,0,0,0.24980978697276277,0.6998097869727627,0.2856,0.32,0.3,0.0,0.31,,,
fraud_signal,fraud_00006,A,SYNTHETIC_FRAUD_LOW,AUTO_CLEAR,STANDARD_SUPPORT,0,0,0.02,0.4208097869727628,0.16,0.0,0.0,0.0,0.0,,,
fraud_signal,fraud_00006,B,SYNTHETIC_FRAUD_HIGH,MANUAL_REVIEW,STANDARD_SUPPORT,1,0,0.02,0.4208097869727628,0.16,0.0,0.0,0.0,0.0,,,
